ID	adj.P.Val	P.Value	t	B	logFC	GI	Gene.symbol	Gene.title
ILMN_1815169	0.2637	0.10272909	-1.694.011	-4.703.706	-0.5349685	143770796	MCM5	minichromosome maintenance complex component 5
ILMN_1730529	0.2638	0.10281186	1.693.581	-47.043.431	0.7730366	565324216	CAB39L	calcium binding protein 39 like
ILMN_1712936	0.264	0.10289259	1.693.162	-47.049.639	0.3309191	125661049	PAXBP1	PAX3 and PAX7 binding protein 1
ILMN_1761058	0.264	0.10291002	1.693.071	-47.050.978	0.350533	145275196	ACAD11	acyl-CoA dehydrogenase family member 11
ILMN_1743939	0.264	0.10295062	-1.692.861	-47.054.098	-0.5262847	207449709	C5orf24	chromosome 5 open reading frame 24
ILMN_1655137	0.2642	0.1030367	-1.692.414	-47.060.707	-0.2482309	298676532	ZCCHC11	zinc finger CCHC-type containing 11
ILMN_2343775	0.2643	0.10309798	1.692.096	-47.065.409	0.3130548	78214521	RPL38	ribosomal protein L38
ILMN_2393994	0.2644	0.10317685	1.691.688	-47.071.456	0.3340604	303305004	CSPP1	centrosome and spindle pole associated protein 1
ILMN_1655935	0.2644	0.1031993	-1.691.572	-47.073.177	-0.2512902	554506569	ADCY7	adenylate cyclase 7
ILMN_2328776	0.2645	0.10326545	-1.691.229	-47.078.243	-0.4015456	109633027	STK26	serine/threonine protein kinase 26
ILMN_1679158	0.2647	0.10334343	1.690.826	-47.084.211	0.6357877	195972891	FAAH2	fatty acid amide hydrolase 2
ILMN_2091792	0.2647	0.10346395	-1.690.202	-47.093.425	-0.5755384	1016841039	ENTPD6	ectonucleoside triphosphate diphosphohydrolase 6 (putative)
ILMN_1741491	0.2647	0.10348059	-1.690.116	-47.094.697	-0.3129805	37594439	ZNHIT1	zinc finger HIT-type containing 1
ILMN_1788625	0.2647	0.1034833	1.690.102	-47.094.903	0.8003223	82546833	EXOC5	exocyst complex component 5
ILMN_1769027	0.2647	0.10348345	-1.690.102	-47.094.915	-0.3685289	84798623	CDC42SE1	CDC42 small effector 1
ILMN_1755862	0.2647	0.10348554	1.690.091	-47.095.074	0.2767613	195963419	PFAS	phosphoribosylformylglycinamidine synthase
ILMN_1724658	0.2647	0.10350605	1.689.985	-47.096.641	0.2794032	734703978	BNIP3	BCL2 interacting protein 3
ILMN_2290007	0.2647	0.10351922	-1.689.917	-47.097.647	-0.2707729	862669350	NELFB	negative elongation factor complex member B
ILMN_1654074	0.2648	0.10357163	1.689.646	-47.101.648	0.6580844	937576195	ITGA3	integrin subunit alpha 3
ILMN_1753440	0.2648	0.10362228	-1.689.385	-47.105.512	-0.2833913	98162801	DCAF16	DDB1 and CUL4 associated factor 16
ILMN_2406532	0.2649	0.10366019	-1.689.189	-47.108.403	-0.587374	164419740	F11R	F11 receptor
ILMN_2163051	0.265	0.10374923	-168.873	-47.115.189	-10.545.877	224549031	HARBI1	harbinger transposase derived 1
ILMN_1743137	0.265	0.10377688	-1.688.587	-47.117.295	-0.4391836	115298681	PRRC2C	proline rich coiled-coil 2C
ILMN_1785646	0.2654	0.10392696	1.687.814	-47.128.715	0.5998807	527317417	PMP22	peripheral myelin protein 22
ILMN_1661335	0.2655	0.10398879	-1.687.496	-47.133.415	-0.3701591	112382249	SPTBN1	spectrin beta, non-erythrocytic 1
ILMN_1653861	0.2657	0.10415964	1.686.618	-47.146.385	0.3437266	288557329	SCMH1	sex comb on midleg homolog 1 (Drosophila)
ILMN_1808501	0.2657	0.10416445	-1.686.593	-4.714.675	-0.1729551	215490005	SH3KBP1	SH3 domain containing kinase binding protein 1
ILMN_2326712	0.2657	0.10416729	1.686.578	-47.146.965	0.5635716	521258683	BACE2	beta-site APP-cleaving enzyme 2
ILMN_1683059	0.2658	0.10422666	1.686.273	-47.151.467	0.1857974	338827624	SIRT5	sirtuin 5
ILMN_1668408	0.2658	0.10423714	168.622	-47.152.261	0.2020021	296923790	AIFM1	apoptosis inducing factor, mitochondria associated 1
ILMN_1737131	0.2658	0.10426679	1.686.067	-47.154.508	0.557599	239735602	POM121L12	POM121 transmembrane nucleoporin like 12
ILMN_1784967	0.2658	0.10430305	1.685.881	-47.157.255	0.3258269	565324147	EPB41L4B	erythrocyte membrane protein band 4.1 like 4B
ILMN_1730118	0.2658	0.10432229	1.685.783	-47.158.711	0.1762922	342349336	ZNF644	zinc finger protein 644
ILMN_2313074	0.2661	0.10447443	1.685.002	-47.170.222	0.2290412	89353286	DEDD	death effector domain containing
ILMN_2210934	0.2662	0.10452274	1.684.755	-47.173.873	0.373665	260656018	NR3C2	nuclear receptor subfamily 3 group C member 2
ILMN_1815165	0.2662	0.10456436	1.684.542	-47.177.017	0.6793809	567757491	SLC28A1	solute carrier family 28 member 1
ILMN_1754303	0.2663	0.10461301	-1.684.292	-47.180.691	-0.627526	324021697	RPL30	ribosomal protein L30
ILMN_1805990	0.2664	0.10468817	1.683.908	-47.186.363	0.4187442	109698605	BAK1	BCL2 antagonist/killer 1
ILMN_1688633	0.2664	0.10470187	1.683.838	-47.187.396	0.6919859	379642986	CLCN2	chloride voltage-gated channel 2
ILMN_1678140	0.2664	0.10474037	1.683.641	-47.190.299	0.1939513	300795959	TTC4	tetratricopeptide repeat domain 4
ILMN_1751615	0.2664	0.10474591	-1.683.612	-47.190.717	-0.1732977	1003088708	COQ10B	coenzyme Q10B
ILMN_1718537	0.2666	0.10483469	-1.683.159	-47.197.406	-0.2136736	322310373	HPS6	HPS6, biogenesis of lysosomal organelles complex 2 subunit 3
ILMN_1750981	0.2666	0.10485764	-1.683.041	-47.199.135	-0.5971027	258645119	SLC25A26	solute carrier family 25 member 26
ILMN_2149494	0.2667	0.10491991	-1.682.723	-47.203.821	-0.431767	318037612	NPL	N-acetylneuraminate pyruvate lyase
ILMN_1733970	0.2667	0.10497756	-1.682.429	-47.208.159	-0.3426824	288915524	BAG1	BCL2 associated athanogene 1
ILMN_1713731	0.2668	0.10500982	-1.682.264	-47.210.585	-0.4641537	154426291	ALOX12	arachidonate 12-lipoxygenase, 12S type
ILMN_2323526	0.2668	0.1050407	-1.682.107	-47.212.905	-0.2652945	342349315	WAC	WW domain containing adaptor with coiled-coil
ILMN_1682675	0.2669	0.10509885	168.181	-47.217.274	11.855.728	NA		
ILMN_1714364	0.2669	0.10512228	-1.681.691	-47.219.034	-0.2300663	313851041	PTK2	protein tyrosine kinase 2
ILMN_2285112	0.2669	0.10517687	1.681.412	-47.223.132	0.2504722	298231103	FBXO11	F-box protein 11
ILMN_1664186	0.2672	0.10531255	1.680.721	-47.233.307	0.4143568	NA		
ILMN_2222768	0.2672	0.10533504	-1.680.607	-47.234.993	-0.9244331	557636659	REPS1	RALBP1 associated Eps domain containing 1
ILMN_1760683	0.2672	0.10535592	-16.805	-47.236.557	-0.2743027	38016912	SRSF9	serine and arginine rich splicing factor 9
ILMN_1706217	0.2672	0.10541432	-1.680.203	-4.724.093	-0.3603771	373432602	TLR4	toll like receptor 4
ILMN_1803277	0.2672	0.1054362	-1.680.092	-47.242.568	-0.4026365	312261256	MVP	major vault protein
ILMN_1704446	0.2672	0.10547499	-1.679.895	-47.245.471	-0.5720882	NA		
ILMN_1778723	0.2672	0.1055004	-1.679.766	-47.247.372	-0.4083167	148664223	JAML	junction adhesion molecule like
ILMN_1676626	0.2672	0.10550389	-1.679.748	-47.247.632	-0.4900825	115334676	ARID4A	AT-rich interaction domain 4A
ILMN_2364110	0.2672	0.10551064	-1.679.714	-47.248.137	-0.232835	284807146	GBA	glucosylceramidase beta
ILMN_1729319	0.2678	0.10576929	-16.784	-47.267.456	-0.2076539	150378532	USP7	ubiquitin specific peptidase 7
ILMN_1666976	0.2678	0.10578488	1.678.321	-47.268.619	0.2501768	605052025	PLD3	phospholipase D family member 3
ILMN_1745365	0.268	0.10586991	167.789	-47.274.957	0.2767354	NA		
ILMN_2168933	0.268	0.10589135	-1.677.781	-47.276.554	-0.4134742	239787091	TNIP2	TNFAIP3 interacting protein 2
ILMN_1787680	0.2684	0.10610834	1.676.683	-47.292.701	0.1604422	542133057	VIMP	VCP interacting membrane selenoprotein
ILMN_1685097	0.2688	0.10628142	1.675.808	-47.305.555	0.2278489	NA		
ILMN_1764871	0.269	0.10638258	1.675.297	-47.313.056	0.2459303	82799478	PIGP	phosphatidylinositol glycan anchor biosynthesis class P
ILMN_2332713	0.269	0.10641129	-1.675.152	-47.315.184	-0.3755632	223718115	SLC25A3	solute carrier family 25 member 3
ILMN_1763487	0.2693	0.10654964	1.674.454	-47.325.428	0.8461173	339276048	CTLA4	cytotoxic T-lymphocyte associated protein 4
ILMN_1756455	0.2693	0.1065663	167.437	-47.326.661	0.5295207	195976790	IL5RA	interleukin 5 receptor subunit alpha
ILMN_1655595	0.2696	0.10671309	1.673.631	-47.337.512	0.3879763	211904150	SERPINE2	serpin family E member 2
ILMN_1740466	0.2696	0.10675418	1.673.424	-47.340.546	0.279685	117414142	FAM46A	family with sequence similarity 46 member A
ILMN_2124471	0.2696	0.1067552	-1.673.419	-47.340.622	-0.3203122	815890937	SLC36A1	solute carrier family 36 member 1
ILMN_2340217	0.2697	0.10680793	-1.673.154	-47.344.514	-0.4776022	392307008	PTPRC	protein tyrosine phosphatase, receptor type C
ILMN_2318568	0.27	0.10698839	-1.672.246	-47.357.819	-0.8636876	568815617	HCFC1R1	host cell factor C1 regulator 1
ILMN_1811997	0.27	0.10698968	167.224	-47.357.915	0.1697896	523498727	RNF115	ring finger protein 115
ILMN_1743205	0.2701	0.1070801	-1.671.786	-47.364.571	-0.4480054	150417983	ABCA7	ATP binding cassette subfamily A member 7
ILMN_1728626	0.2701	0.10708719	-167.175	-47.365.093	-0.9860953	61744460	WDR5	WD repeat domain 5
ILMN_1744146	0.2703	0.1071874	-1.671.247	-47.372.464	-0.5472834	154354975	PTTG2	pituitary tumor-transforming 2
ILMN_2403664	0.2703	0.1072037	-1.671.166	-47.373.662	-0.4970754	984290547	POMC	proopiomelanocortin
ILMN_2403852	0.2703	0.10726447	-1.670.861	-47.378.127	-0.2532764	635372925	CYTH1	cytohesin 1
ILMN_2313821	0.2703	0.10727933	1.670.786	-47.379.219	0.2273794	NA		
ILMN_1691736	0.2703	0.10732373	-1.670.564	-47.382.479	-0.4155629	558757379	ST6GALNAC6	ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 6
ILMN_1739154	0.2703	0.10732672	1.670.549	-47.382.698	0.4045532	974576773	LSAMP	limbic system-associated membrane protein
ILMN_1768077	0.2703	0.10734649	167.045	-47.384.149	0.3063178	221136773	TCTN3	tectonic family member 3
ILMN_1725889	0.2704	0.10740917	1.670.136	-47.388.748	0.6109103	282165689	AFF2	AF4/FMR2 family member 2
ILMN_1806023	0.2707	0.1075215	-1.669.574	-47.396.982	-0.4454738	44890066	JUN	Jun proto-oncogene, AP-1 transcription factor subunit
ILMN_1774528	0.2707	0.10754619	166.945	-47.398.791	0.6037046	40217830	GPRC5C	G protein-coupled receptor class C group 5 member C
ILMN_1663827	0.2708	0.10763809	1.668.991	-47.405.519	0.6378648	154689857	SMYD5	SMYD family member 5
ILMN_2092693	0.2711	0.1077875	-1.668.244	-47.416.443	-0.4533045	209977040	LSM12	LSM12 homolog
ILMN_2357382	0.2713	0.10788413	1.667.762	-47.423.501	0.6018215	189409139	TERF1	telomeric repeat binding factor 1
ILMN_2130635	0.2713	0.10788994	1.667.733	-47.423.925	0.3922835	156139138	FOXRED2	FAD dependent oxidoreductase domain containing 2
ILMN_1759154	0.2714	0.10795429	-1.667.412	-4.742.862	-0.7729743	315434252	PABPN1	poly(A) binding protein nuclear 1
ILMN_1805228	0.2714	0.10799201	-1.667.224	-47.431.371	-0.3729135	49574519	LRG1	leucine rich alpha-2-glycoprotein 1
ILMN_1728498	0.2715	0.1080355	1.667.007	-47.434.541	0.261793	291575145	PCBP4	poly(rC) binding protein 4
ILMN_1763326	0.2718	0.1081834	-1.666.271	-47.445.312	-0.4353176	815890993	SIMC1	SUMO interacting motifs containing 1
ILMN_1759341	0.2721	0.10835465	-1.665.419	-47.457.763	-0.3411557	187828659	MAN2B1	mannosidase alpha class 2B member 1
ILMN_2075794	0.2722	0.10841951	1.665.097	-47.462.473	0.4684463	33667039	NLRP8	NLR family pyrin domain containing 8
